protocol,packet_length,packet_type,traffic_type,malware_indicators,anomaly_scores,alerts_warnings,attack_signature,action_taken,network_segment,log_source,hour,day,week_day,month,browser,device_os,severity_encoded,target
UDP,1312,1,HTTP,0,57,1,Known Pattern A,Ignored,Segment C,1,8,30,1,3,Opera,Windows,1,DDoS
UDP,657,1,FTP,0,71,0,Known Pattern A,Ignored,Segment B,1,17,25,1,5,Mozilla,Android,2,DDoS
TCP,898,1,HTTP,1,42,1,Known Pattern B,Logged,Segment C,1,12,19,5,8,Mozilla,Linux,0,DDoS
TCP,1347,1,HTTP,0,38,0,Known Pattern B,Logged,Segment B,1,4,27,4,3,Mozilla,Linux,1,DDoS
TCP,145,1,HTTP,1,85,0,Known Pattern B,Blocked,Segment B,1,21,30,5,10,Mozilla,Windows,2,DDoS
UDP,662,1,DNS,1,0,1,Known Pattern A,Logged,Segment C,1,8,28,5,3,Mozilla,Windows,1,DDoS
UDP,940,1,HTTP,1,19,1,Known Pattern B,Ignored,Segment A,1,9,21,0,3,Mozilla,Macintosh,2,DDoS
TCP,1189,1,HTTP,1,14,0,Known Pattern A,Blocked,Segment B,1,7,14,6,11,Mozilla,Windows,2,DDoS
ICMP,881,1,HTTP,0,76,0,Known Pattern A,Ignored,Segment A,1,22,17,5,12,Opera,Linux,2,DDoS
TCP,627,1,FTP,1,36,0,Known Pattern B,Logged,Segment B,1,21,13,6,3,Mozilla,Macintosh,1,DDoS
ICMP,1132,1,DNS,1,41,0,Known Pattern A,Blocked,Segment B,1,6,11,6,10,Opera,Windows,2,DDoS
UDP,699,1,HTTP,1,43,0,Known Pattern B,Ignored,Segment C,1,23,28,4,5,Mozilla,iPad,0,DDoS
UDP,361,1,DNS,0,57,0,Known Pattern B,Logged,Segment A,1,13,21,1,6,Mozilla,Windows,0,DDoS
ICMP,880,1,FTP,1,66,0,Known Pattern B,Logged,Segment B,1,17,3,3,11,Mozilla,Windows,1,DDoS
TCP,454,1,DNS,0,66,1,Known Pattern A,Blocked,Segment A,1,3,16,3,6,Mozilla,Macintosh,1,DDoS
ICMP,113,1,DNS,1,100,0,Known Pattern B,Blocked,Segment A,1,2,30,3,4,Mozilla,Linux,1,DDoS
ICMP,860,1,DNS,1,73,1,Known Pattern B,Logged,Segment A,1,3,3,2,11,Mozilla,Windows,2,DDoS
ICMP,475,1,FTP,0,4,1,Known Pattern B,Blocked,Segment B,1,8,21,4,4,Mozilla,Windows,2,DDoS
TCP,915,1,HTTP,1,19,1,Known Pattern B,Blocked,Segment C,1,9,10,4,12,Mozilla,Macintosh,0,DDoS
TCP,1148,1,DNS,0,92,1,Known Pattern A,Logged,Segment C,1,23,14,0,6,Opera,Windows,1,DDoS
ICMP,881,1,FTP,1,2,1,Known Pattern B,Ignored,Segment C,1,14,10,0,7,Mozilla,Windows,0,DDoS
TCP,645,1,DNS,1,46,1,Known Pattern B,Blocked,Segment C,1,1,5,6,6,Opera,Windows,1,DDoS
ICMP,701,1,DNS,0,66,0,Known Pattern B,Ignored,Segment B,1,17,2,3,2,Opera,Windows,1,DDoS
TCP,638,1,DNS,0,61,0,Known Pattern B,Ignored,Segment C,1,4,15,0,11,Mozilla,Windows,1,DDoS
ICMP,828,1,DNS,0,61,0,Known Pattern A,Logged,Segment A,1,23,19,6,7,Mozilla,Android,0,DDoS
ICMP,596,1,DNS,0,49,1,Known Pattern B,Ignored,Segment A,1,6,18,6,9,Mozilla,iPod,2,DDoS
TCP,1030,1,DNS,0,8,1,Known Pattern A,Blocked,Segment C,1,15,6,0,12,Mozilla,Macintosh,1,DDoS
UDP,744,1,DNS,0,16,0,Known Pattern A,Blocked,Segment B,1,19,5,1,4,Mozilla,Windows,1,DDoS
ICMP,1351,1,DNS,0,83,0,Known Pattern B,Logged,Segment C,1,18,6,2,4,Mozilla,Windows,1,DDoS
ICMP,860,1,HTTP,1,95,0,Known Pattern A,Blocked,Segment A,1,23,11,5,12,Mozilla,Macintosh,2,DDoS
UDP,1022,1,HTTP,0,75,0,Known Pattern A,Blocked,Segment B,1,19,8,1,3,Opera,Linux,0,DDoS
TCP,1217,1,DNS,1,89,1,Known Pattern B,Blocked,Segment A,1,22,12,5,3,Mozilla,Windows,0,DDoS
UDP,1261,1,DNS,0,74,0,Known Pattern B,Blocked,Segment B,1,16,1,5,5,Opera,Windows,1,DDoS
UDP,1474,1,HTTP,0,69,0,Known Pattern A,Logged,Segment C,1,23,5,0,6,Opera,Linux,1,DDoS
TCP,1074,1,HTTP,1,87,1,Known Pattern B,Logged,Segment C,1,18,15,4,7,Opera,Windows,1,DDoS
ICMP,147,1,FTP,0,41,0,Known Pattern A,Ignored,Segment C,1,20,14,6,11,Mozilla,Linux,2,DDoS
ICMP,560,1,FTP,1,75,1,Known Pattern A,Logged,Segment B,1,6,11,4,9,Mozilla,Macintosh,2,DDoS
UDP,303,1,HTTP,1,26,0,Known Pattern A,Logged,Segment C,1,15,10,3,12,Mozilla,iPod,1,DDoS
UDP,420,1,FTP,1,92,1,Known Pattern B,Logged,Segment C,1,1,13,3,1,Mozilla,Macintosh,0,DDoS
UDP,270,1,DNS,1,27,0,Known Pattern B,Blocked,Segment B,1,5,24,4,9,Opera,Windows,2,DDoS
ICMP,1002,1,HTTP,0,39,0,Known Pattern A,Blocked,Segment C,1,15,28,0,9,Opera,Linux,2,DDoS
ICMP,278,1,DNS,0,53,1,Known Pattern A,Blocked,Segment B,1,9,18,5,9,Mozilla,Windows,2,DDoS
TCP,1285,1,FTP,1,23,0,Known Pattern A,Ignored,Segment B,1,8,16,3,3,Mozilla,Windows,2,DDoS
TCP,1497,1,FTP,0,47,0,Known Pattern A,Ignored,Segment B,1,11,23,5,4,Mozilla,Windows,1,DDoS
UDP,845,1,HTTP,1,35,0,Known Pattern A,Blocked,Segment A,1,3,25,4,2,Mozilla,Macintosh,0,DDoS
TCP,439,1,DNS,0,6,1,Known Pattern B,Ignored,Segment A,1,16,12,1,10,Mozilla,Macintosh,1,DDoS
TCP,1346,1,FTP,1,18,0,Known Pattern A,Ignored,Segment B,1,19,15,0,8,Mozilla,Windows,2,DDoS
UDP,1010,1,DNS,0,72,1,Known Pattern A,Ignored,Segment A,1,8,31,4,7,Mozilla,Windows,0,DDoS
UDP,923,1,FTP,0,45,1,Known Pattern A,Ignored,Segment B,1,21,18,3,2,Mozilla,Windows,0,DDoS
UDP,916,1,HTTP,0,94,0,Known Pattern B,Blocked,Segment B,1,23,24,5,6,Opera,Linux,2,DDoS
ICMP,89,1,FTP,0,46,0,Known Pattern A,Ignored,Segment B,1,4,11,6,7,Mozilla,iPhone,1,DDoS
UDP,1128,1,HTTP,1,99,1,Known Pattern A,Ignored,Segment C,1,5,20,3,10,Mozilla,Macintosh,2,DDoS
ICMP,547,1,DNS,0,72,0,Known Pattern B,Blocked,Segment C,1,20,23,2,9,Mozilla,Linux,2,DDoS
ICMP,312,1,DNS,1,38,1,Known Pattern A,Blocked,Segment C,1,0,2,1,6,Mozilla,Windows,2,DDoS
UDP,1451,1,HTTP,0,35,1,Known Pattern B,Ignored,Segment C,1,3,7,1,1,Opera,Linux,1,DDoS
UDP,292,1,DNS,1,59,1,Known Pattern B,Logged,Segment C,1,4,20,2,9,Opera,Linux,0,DDoS
TCP,568,1,DNS,0,86,1,Known Pattern B,Blocked,Segment B,1,23,31,3,3,Mozilla,Windows,1,DDoS
TCP,730,1,HTTP,0,37,0,Known Pattern B,Logged,Segment A,1,12,13,0,12,Mozilla,Linux,2,DDoS
TCP,1229,1,DNS,1,63,1,Known Pattern B,Logged,Segment B,1,13,4,5,9,Mozilla,iPod,0,DDoS
ICMP,979,1,HTTP,0,91,1,Known Pattern A,Ignored,Segment C,1,23,17,4,3,Mozilla,iPad,2,DDoS
ICMP,448,1,HTTP,1,3,1,Known Pattern A,Blocked,Segment C,1,10,11,6,12,Opera,Linux,2,DDoS
TCP,967,1,FTP,0,20,1,Known Pattern B,Logged,Segment C,1,5,19,2,10,Mozilla,iPhone,1,DDoS
