protocol,packet_length,packet_type,traffic_type,malware_indicators,anomaly_scores,alerts_warnings,attack_signature,action_taken,network_segment,log_source,hour,day,week_day,month,browser,device_os,severity_encoded,target
ICMP,460,1,HTTP,1,45,1,Known Pattern A,Ignored,Segment A,1,19,26,5,8,Mozilla,iPod,1,Intrusion
UDP,593,1,HTTP,1,85,1,Known Pattern B,Ignored,Segment C,1,9,5,5,12,Opera,Windows,0,Intrusion
UDP,865,1,FTP,1,69,0,Known Pattern B,Blocked,Segment B,1,8,13,3,4,Mozilla,iPod,1,Intrusion
UDP,1253,1,HTTP,0,14,0,Known Pattern B,Ignored,Segment C,1,21,16,1,5,Mozilla,Macintosh,2,Intrusion
UDP,468,1,FTP,1,16,0,Known Pattern B,Blocked,Segment C,1,6,23,0,8,Mozilla,Macintosh,0,Intrusion
ICMP,1230,1,HTTP,1,95,1,Known Pattern A,Logged,Segment B,1,3,16,6,8,Opera,Linux,0,Intrusion
ICMP,1278,1,HTTP,1,94,1,Known Pattern B,Blocked,Segment A,1,2,3,2,8,Mozilla,Windows,1,Intrusion
UDP,149,1,DNS,1,75,0,Known Pattern A,Ignored,Segment C,1,7,8,3,4,Mozilla,iPod,1,Intrusion
TCP,515,1,DNS,0,83,1,Known Pattern B,Blocked,Segment C,1,18,9,2,11,Mozilla,Macintosh,0,Intrusion
UDP,489,1,FTP,1,16,0,Known Pattern B,Ignored,Segment C,1,1,18,5,9,Mozilla,Windows,2,Intrusion
ICMP,1206,1,HTTP,0,74,1,Known Pattern A,Blocked,Segment A,1,23,10,3,12,Mozilla,Linux,1,Intrusion
ICMP,1398,1,FTP,0,25,1,Known Pattern B,Logged,Segment B,1,19,20,0,9,Mozilla,Macintosh,0,Intrusion
UDP,537,1,HTTP,1,94,1,Known Pattern B,Blocked,Segment B,1,3,25,5,6,Mozilla,iPod,1,Intrusion
TCP,1455,1,FTP,0,88,0,Known Pattern B,Blocked,Segment B,1,12,24,2,3,Mozilla,Windows,2,Intrusion
UDP,955,1,FTP,0,91,1,Known Pattern B,Ignored,Segment B,1,22,12,3,3,Opera,Windows,1,Intrusion
TCP,1253,1,DNS,1,97,1,Known Pattern A,Logged,Segment A,1,2,21,2,4,Mozilla,Android,2,Intrusion
UDP,351,1,FTP,0,77,0,Known Pattern A,Blocked,Segment B,1,17,8,3,7,Mozilla,Macintosh,2,Intrusion
ICMP,445,1,DNS,1,92,1,Known Pattern B,Logged,Segment A,1,22,9,4,9,Mozilla,Windows,0,Intrusion
ICMP,629,1,FTP,0,97,1,Known Pattern A,Ignored,Segment A,1,23,13,0,7,Mozilla,Linux,2,Intrusion
TCP,968,1,HTTP,0,94,1,Known Pattern A,Logged,Segment C,1,19,25,1,7,Mozilla,Windows,2,Intrusion
UDP,1260,1,DNS,1,92,0,Known Pattern B,Blocked,Segment A,1,23,15,3,4,Mozilla,iPad,1,Intrusion
ICMP,1357,1,HTTP,0,21,0,Known Pattern A,Ignored,Segment C,1,6,22,4,7,Mozilla,Windows,0,Intrusion
UDP,1278,1,DNS,0,15,1,Known Pattern A,Ignored,Segment A,1,22,30,2,12,Opera,Windows,2,Intrusion
ICMP,1173,1,HTTP,1,66,1,Known Pattern A,Ignored,Segment B,1,6,22,0,11,Mozilla,Windows,1,Intrusion
UDP,117,1,FTP,1,91,1,Known Pattern B,Blocked,Segment A,1,13,5,3,10,Mozilla,Windows,2,Intrusion
ICMP,907,1,DNS,1,59,0,Known Pattern A,Blocked,Segment C,1,22,3,1,8,Mozilla,Windows,0,Intrusion
ICMP,1446,1,HTTP,1,64,1,Known Pattern A,Logged,Segment A,1,5,17,0,8,Opera,Windows,2,Intrusion
ICMP,759,1,HTTP,0,30,0,Known Pattern A,Blocked,Segment B,1,4,7,2,7,Mozilla,Linux,1,Intrusion
UDP,400,1,FTP,1,4,0,Known Pattern A,Ignored,Segment B,1,15,11,0,5,Mozilla,Macintosh,1,Intrusion
UDP,519,1,HTTP,1,99,1,Known Pattern B,Logged,Segment B,1,10,16,5,10,Mozilla,Linux,2,Intrusion
TCP,544,1,DNS,1,65,1,Known Pattern B,Ignored,Segment A,1,7,14,6,3,Mozilla,Linux,2,Intrusion
ICMP,1454,1,DNS,0,10,1,Known Pattern B,Ignored,Segment B,1,10,19,6,6,Mozilla,Macintosh,2,Intrusion
